Mitogenomes	sample	Morphpspecies_Image	Image_Family	Image_Subfamily	Site_ID	Site	Collection_method	Collection_year	Country
BIOD00923	BIBC_BIP26_A05	MS2407	Leiodidae	Cholevinae	PC	Poring	FIT1		Malaysia
BIOD00956	BIBC_BIP21_D10	MS1967	Histeridae		PA	Poring	FIT1		Malaysia
BIOD00963	BIBC_BIP17_A04	MS1540	Histeridae		PB	Poring	FIT2		Malaysia
BIOD00990	BIBC_BIP26_D03	MS2441	Histeridae		PC	Poring	FIT1		Malaysia
BIOD01003	BIBC_BIP17_C05	MS1565	Histeridae		PB	Poring	FIT2		Malaysia
BIOD01033	BIBC_BIP29_D09	MS2735	Ptiliidae		PD	Poring	FIT2		Malaysia
BIOD01037	BIBC_BIP17_H07	MS1627	Staphylinidae	Aleocharinae	PB	Poring	FIT2		Malaysia
BIOD01052	BIBC_BIP26_F12	MS2474	Staphylinidae	Scaphidiinae	PC	Poring	FIT1		Malaysia
BIOD01054	BIBC_BIP20_D05	MS1865	Staphylinidae	Pselaphinae	PB	Poring	FIT2		Malaysia
BIOD01059	BIBC_BIP27_F01	MS2559	Histeridae		PD	Poring	FIT2		Malaysia
BIOD01064	BIBC_BIP11_F04	MS1024	Staphylinidae	Pselaphinae	PB	Poring	WINKLER		Malaysia
BIOD01070	BIBC_BIP25_E06	MS2360	Staphylinidae	Aleocharinae	PC	Poring	FIT1		Malaysia
BIOD01113	BIBC_BIP18_G03	MS1707	Staphylinidae	Scaphidiinae	PB	Poring	FIT2		Malaysia
BIOD01117	BIBC_BIP13_C04	MS1180	Staphylinidae	Tachyporinae	PD	Poring	WINKLER		Malaysia
BIOD01118	BIBC_BIP20_B09	MS1845	Hydrophilidae		PB	Poring	FIT2		Malaysia
BIOD01144	BIBC_BIP28_B04	MS2610	Histeridae		PD	Poring	FIT2		Malaysia
BIOD01162	BIBC_BIP04_E06	MS342	Histeridae		PA	Poring	BEATING		Malaysia
BIOD01163	BIBC_BIP22_C10	MS2051	Staphylinidae	Scaphidiinae	PA	Poring	FIT1		Malaysia
BIOD01201	BIBC_BIP25_F12	MS2378	Staphylinidae	Aleocharinae	PC	Poring	FIT1		Malaysia
BIOD01227	BIBC_BIP22_C05	MS2046	Staphylinidae	Tachyporinae	PA	Poring	FIT1		Malaysia
BIOD01229	BIBC_BIP17_F11	MS1607	Staphylinidae	Aleocharinae	PB	Poring	FIT2		Malaysia
BIOD01249	BIBC_BIP13_G12	MS1236	Staphylinidae	Aleocharinae	PA	Poring	WINKLER		Malaysia
BIOD01278	BIBC_BIP26_F04	MS2466	Staphylinidae	Aleocharinae	PC	Poring	FIT1		Malaysia
BIOD01279	BIBC_BIP29_B06	MS2708	Staphylinidae	Aleocharinae	PD	Poring	FIT2		Malaysia
BIOD01285	BIBC_BIP29_B07	MS2709	Staphylinidae	Aleocharinae	PD	Poring	FIT2		Malaysia
BIOD01288	BIBC_BIP14_D12	MS1296	Staphylinidae	Aleocharinae	PA	Poring	WINKLER		Malaysia
BIOD01302	BIBC_BIP11_E08	MS1016	Staphylinidae	Paederinae	PB	Poring	WINKLER		Malaysia
BIOD01307	BIBC_BIP19_C10	MS1762	Histeridae		PB	Poring	FIT2		Malaysia
BIOD01341	BIBC_BIP29_E09	MS2747	Staphylinidae	Staphylininae	PB	Poring	FIT1		Malaysia
BIOD01343	BIBC_BIP13_D04	MS1192	Staphylinidae	Aleocharinae	PD	Poring	WINKLER		Malaysia
BIOD01354	BIBC_BIP25_B09	MS2327	Staphylinidae	Paederinae	PC	Poring	FIT1		Malaysia
BIOD01370	BIBC_BIP26_B12	MS2426	Leiodidae		PC	Poring	FIT1		Malaysia
BIOD01411	BIBC_BIP24_B11	MS2233	Histeridae		PC	Poring	FIT1		Malaysia
BIOD01416	BIBC_BIP26_B04	MS2418	Leiodidae	Cholevinae	PC	Poring	FIT1		Malaysia
